label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
138,25085171.0,6856672.0,8503269.0,640443.0,8116778.0,3539415.0,2387461.0,3279213.0,6125136.0,3878411.0,1458039.0,884397.0
139,21799869.0,5847632.0,6715066.0,117768.0,6733194.0,1187911.0,2075261.0,2585024.0,5922196.0,3091158.0,1176428.0,815707.0
140,20599122.0,5887404.0,6797661.0,517508.0,7132873.0,2202796.0,2107143.0,2933079.0,7246628.0,3328637.0,1229146.0,1142484.0
141,24160991.0,6634602.0,7854201.0,617977.0,6811591.0,1811028.0,2561345.0,2999168.0,5284074.0,2527047.0,918440.0,1091443.0
142,20817142.0,5986062.0,7019476.0,514388.0,7528074.0,1635343.0,2111811.0,2681834.0,6060880.0,3218755.0,4761412.0,1517889.0
143,22591988.0,5980346.0,6937512.0,443204.0,7828370.0,1686398.0,2040446.0,2908870.0,8342477.0,2950526.0,4079561.0,1194255.0
144,24458318.0,6419567.0,7764285.0,597283.0,7582277.0,3073549.0,2323249.0,2886948.0,8108107.0,4190498.0,1813420.0,1040988.0
145,22361356.0,7134689.0,8902378.0,627543.0,7947761.0,735112.0,2370130.0,2659534.0,8889605.0,4992742.0,3251438.0,1343341.0
146,23762481.0,7013282.0,8686080.0,149831.0,10255965.0,1913718.0,2807502.0,3082483.0,7503890.0,5475249.0,6656139.0,1224833.0
147,26543226.0,6588830.0,8450962.0,225756.0,7404381.0,1462873.0,2461267.0,2884620.0,7799673.0,3511353.0,4244896.0,998634.0
148,23294143.0,6798852.0,8600714.0,668670.0,8236922.0,1610544.0,2480228.0,3071254.0,6844236.0,3939693.0,4030576.0,1402666.0
149,18765064.0,5956649.0,7874974.0,604887.0,7463839.0,1364677.0,2377960.0,2781044.0,8870807.0,3108911.0,3433759.0,1114258.0
150,30563790.0,5964417.0,7904087.0,614317.0,7519122.0,1678017.0,3441075.0,2902266.0,7408640.0,4582397.0,2300209.0,1273495.0
151,25829194.0,6403699.0,8362710.0,705975.0,7830727.0,1093279.0,2634686.0,3131590.0,7230335.0,4959139.0,6457639.0,987578.0
152,29327237.0,6497858.0,8418542.0,741482.0,7873390.0,1989686.0,2676766.0,3179573.0,7696115.0,4195585.0,4175799.0,1098267.0
153,24343067.0,6548876.0,8428317.0,637939.0,8366942.0,1477615.0,2353929.0,2824962.0,6260679.0,3351343.0,1551903.0,1150262.0
154,21000536.0,6604631.0,8182288.0,628652.0,8980342.0,1985484.0,2866825.0,2829442.0,7396810.0,3575210.0,4500548.0,985199.0
155,24845342.0,6458820.0,7474031.0,602222.0,7470117.0,1827256.0,2492390.0,3369278.0,5951634.0,4035807.0,2260235.0,2167417.0
156,14374803.0,4694813.0,5442173.0,291947.0,5580076.0,3534237.0,1526675.0,2405330.0,3624729.0,1676500.0,1240816.0,1224776.0
157,22940666.0,6533472.0,8130719.0,2236294.0,8466378.0,458742.0,2383962.0,3185652.0,6699000.0,4585232.0,1920489.0,1237743.0
158,13558480.0,3653419.0,4433981.0,22562.0,4278855.0,715234.0,2006143.0,1666926.0,4735808.0,2760242.0,2059053.0,833172.0
159,27574043.0,7237468.0,8961950.0,369562.0,8545880.0,1623062.0,2608939.0,3121338.0,9015805.0,5015508.0,6501690.0,914671.0
160,28328285.0,6982259.0,8788513.0,662405.0,7977893.0,857025.0,2825741.0,3058088.0,7820838.0,5548219.0,3920610.0,1270867.0
161,21534189.0,5172707.0,6685696.0,159375.0,6058194.0,936928.0,2577781.0,2985720.0,3840311.0,2058065.0,637304.0,761357.0
162,21107508.0,7041749.0,8831082.0,964624.0,9069637.0,4869946.0,3799937.0,4307849.0,6185696.0,2564502.0,628049.0,1232706.0
163,23650170.0,6414538.0,7300725.0,277440.0,7969175.0,10196411.0,8351040.0,5187693.0,5124308.0,2681181.0,864933.0,1234735.0
164,15293328.0,4070511.0,4835106.0,2310851.0,3951498.0,77852.0,1270185.0,1790842.0,3292957.0,1772770.0,1092389.0,571751.0
165,25067869.0,6881505.0,8542881.0,730278.0,7775260.0,3587548.0,2443009.0,3288793.0,10249249.0,4461844.0,2784090.0,1082093.0
166,26522037.0,6864881.0,8539741.0,3765666.0,7572569.0,2057353.0,2358153.0,3046375.0,5311928.0,3088834.0,2056583.0,981693.0
167,22102319.0,7023610.0,8741647.0,320019.0,9263310.0,9326252.0,4012123.0,4328967.0,5164142.0,2275936.0,1070354.0,1161004.0
168,26846474.0,7140629.0,8983807.0,492393.0,8731512.0,7166126.0,2550759.0,4126295.0,5029399.0,3054239.0,744224.0,2889038.0
169,29610751.0,6708039.0,8525566.0,662282.0,9249365.0,1971852.0,2609043.0,4092198.0,4562883.0,3273313.0,1549816.0,2579991.0
170,24800130.0,6587039.0,8331752.0,718692.0,7802315.0,1191641.0,2520914.0,4404794.0,4958660.0,3019743.0,1875915.0,1161555.0
171,26523019.0,6849002.0,8688058.0,877426.0,8155996.0,1652415.0,2591200.0,3595572.0,4692102.0,3740144.0,2600103.0,1289962.0
172,27090443.0,6829799.0,8616251.0,134295.0,7976993.0,2953072.0,3026818.0,3950177.0,4627600.0,3564952.0,1480680.0,2067077.0
173,23086049.0,6604035.0,8298144.0,657665.0,7591720.0,1817443.0,2158504.0,2920528.0,5003170.0,3401517.0,1913157.0,1059907.0
174,18041689.0,5816942.0,7136702.0,1116011.0,8684872.0,4252464.0,3881926.0,3048906.0,4792417.0,2137979.0,769017.0,842940.0
175,23890328.0,6712776.0,8447746.0,584780.0,9097719.0,861294.0,2115532.0,2747705.0,11826652.0,3676099.0,2903700.0,840299.0
176,17012310.0,4796593.0,5943070.0,433468.0,6037345.0,1077642.0,1557321.0,1944009.0,4455266.0,3006234.0,2762819.0,852864.0
177,25974662.0,6903540.0,8657750.0,422998.0,10565579.0,1105556.0,2248674.0,3007827.0,8985668.0,3334932.0,3585573.0,2239753.0
178,26859643.0,7478101.0,9315440.0,764948.0,10096801.0,1845094.0,2388135.0,3716711.0,5300360.0,4329701.0,3367274.0,1502681.0
179,24247838.0,7085943.0,8792611.0,626369.0,8445324.0,833312.0,2486382.0,3053038.0,6267971.0,3551561.0,1550470.0,2176938.0
180,30395113.0,6675694.0,8443579.0,825469.0,7986143.0,1269538.0,2657027.0,2978573.0,6988090.0,2978920.0,1808978.0,892370.0
181,29408294.0,5961779.0,7746788.0,663991.0,7962430.0,847615.0,2614562.0,2877571.0,5295364.0,3790591.0,1468157.0,902205.0
182,26310632.0,5855819.0,7518389.0,985442.0,7588812.0,1543018.0,2671346.0,3391263.0,7250197.0,3807857.0,2087916.0,1205082.0
183,11082926.0,2436375.0,3374007.0,340736.0,4117432.0,3266755.0,2371622.0,1951057.0,2576367.0,1174959.0,277810.0,474347.0
184,21773454.0,4889504.0,6348434.0,438123.0,8827935.0,9171618.0,4818572.0,4192075.0,5434014.0,1709464.0,647645.0,865427.0
185,28944568.0,6221313.0,7973351.0,766538.0,6884963.0,3815263.0,2751346.0,3595967.0,7354462.0,3610247.0,1777698.0,1476664.0
186,26537665.0,5711348.0,7352724.0,742839.0,8323573.0,945046.0,2378399.0,3195711.0,7431695.0,3472447.0,1805813.0,1060956.0
187,24038919.0,5547750.0,7119508.0,641062.0,6332118.0,1408335.0,2360205.0,2753005.0,7017727.0,2975332.0,2184314.0,870951.0
188,16346706.0,3681508.0,4953197.0,20750.0,4258794.0,790645.0,2010870.0,1845660.0,4124609.0,3196581.0,1153283.0,1296994.0
189,26034556.0,7015146.0,8838349.0,904440.0,9386687.0,1358240.0,2347833.0,2940474.0,6481708.0,3981464.0,2414160.0,1123054.0
190,22508968.0,6303557.0,8190223.0,854678.0,6648534.0,4716817.0,2506719.0,3078219.0,4759748.0,2637644.0,1637140.0,1041205.0
191,27203708.0,6041705.0,7997868.0,1864825.0,7481019.0,1846229.0,2600929.0,3000670.0,7002616.0,2472360.0,1493144.0,968214.0
192,26308486.0,5744952.0,7475972.0,653423.0,7485980.0,1455077.0,2620215.0,4004079.0,6753433.0,2099807.0,919024.0,1771988.0
193,27023957.0,6067669.0,7985150.0,766315.0,7438323.0,1512351.0,3296048.0,2820987.0,6424168.0,2914281.0,2433856.0,1303537.0
194,26487174.0,6887721.0,8628583.0,822728.0,8518707.0,1594575.0,2531283.0,3442060.0,7113819.0,4382370.0,6281794.0,1327664.0
195,25748272.0,6979174.0,9015594.0,498634.0,7927600.0,4351592.0,2920063.0,3027029.0,5596480.0,3984178.0,2382526.0,1165370.0
196,25347572.0,6481983.0,8279995.0,633918.0,8358877.0,774286.0,2695715.0,2638998.0,8380721.0,4738539.0,2905587.0,1129957.0
197,21242953.0,6517956.0,8093930.0,269742.0,8406804.0,1122711.0,2351593.0,2627752.0,7987262.0,4580736.0,7810081.0,1400540.0
198,24424874.0,7068780.0,8711214.0,558383.0,8263703.0,1337868.0,2966906.0,3603953.0,5931547.0,3077692.0,2954333.0,840104.0
199,15540273.0,4522406.0,5678620.0,404777.0,5688184.0,1291808.0,1566429.0,2038364.0,4875170.0,3121728.0,1584872.0,552229.0
