label,DAPI1st,DAPI2nd,DAPI3rd,MBP488,GAD647,GABA488,gephyrin594,GS594,Synapsin647,VGluT1_647,PSD95_488,NR1594
17,75002835.0,15420912.0,19785532.0,2427970.0,20054560.0,5093888.0,7473130.0,8304770.0,17841737.0,7027392.0,7926099.0,2951052.0
19,41250878.0,9574808.0,12077568.0,1100146.0,12579352.0,1925703.0,4376919.0,5291382.0,16837220.0,4296571.0,4159038.0,1633638.0
20,45545351.0,8557394.0,10394962.0,952209.0,9900635.0,2279949.0,4254895.0,4234235.0,8238675.0,3937094.0,1626281.0,1276957.0
21,47693002.0,9577624.0,12062623.0,2453969.0,12548520.0,4719372.0,4577311.0,5665829.0,9942903.0,4648734.0,2830634.0,1511297.0
22,37970416.0,8169347.0,9860032.0,2668478.0,11569431.0,1641243.0,3914944.0,4832393.0,8346034.0,5439043.0,2720236.0,1503212.0
23,41951229.0,9548713.0,12075427.0,935743.0,12411086.0,2591791.0,4447938.0,6705972.0,9189091.0,3663916.0,3175694.0,1822006.0
24,41725027.0,8668072.0,10723639.0,668336.0,10789783.0,3562685.0,4902029.0,4536602.0,15298478.0,5199728.0,3136682.0,1591171.0
25,49553154.0,9622609.0,12038040.0,2845030.0,12014240.0,1797947.0,5612684.0,5187386.0,8872655.0,5208740.0,3882290.0,1645562.0
26,36169639.0,8120138.0,9808522.0,1047620.0,9605378.0,2254541.0,3926040.0,3961737.0,7088240.0,2701886.0,1241879.0,1412757.0
27,45328869.0,8477857.0,10370448.0,892928.0,9970545.0,4098241.0,3907857.0,4827404.0,7861933.0,3073656.0,1527811.0,1278920.0
28,52966465.0,10999755.0,14246158.0,1467343.0,15288245.0,5547036.0,5240762.0,5964507.0,11052026.0,6739301.0,2831967.0,2515186.0
29,26277080.0,5889928.0,7020875.0,891293.0,7754558.0,2004689.0,3452838.0,3142381.0,7662400.0,4108805.0,1815289.0,1044164.0
30,49113993.0,9775529.0,12306625.0,781535.0,13190536.0,2495721.0,4586983.0,5065121.0,8620761.0,4094639.0,2611997.0,1806194.0
31,64316227.0,13383189.0,17372523.0,1718375.0,16276992.0,7089014.0,6212565.0,8669612.0,15822435.0,7038806.0,4718072.0,2287434.0
32,67555866.0,13441917.0,17164359.0,1444655.0,17107533.0,2504092.0,6002054.0,7151651.0,15243111.0,6939201.0,3330757.0,2502824.0
33,52240464.0,11109963.0,14418608.0,1443464.0,13286773.0,8526032.0,5427511.0,6537511.0,11139430.0,4500240.0,2339847.0,2172431.0
34,55483558.0,11143452.0,14230440.0,1165884.0,14906700.0,3146964.0,5644951.0,5384333.0,11886397.0,5598331.0,4396797.0,2222367.0
35,69798619.0,15056872.0,19363645.0,1665121.0,18127237.0,4370110.0,7094578.0,7076602.0,17147783.0,8696392.0,5229925.0,2638610.0
36,66735494.0,14309853.0,18379853.0,1722047.0,18557780.0,2777968.0,6433178.0,7447606.0,13948835.0,8164410.0,4745200.0,2817203.0
37,58891434.0,12034780.0,15935066.0,1225539.0,15740373.0,3332446.0,5513244.0,9472775.0,19121845.0,7429752.0,6802082.0,2237492.0
38,54157724.0,11128215.0,14329803.0,2918953.0,17305803.0,7214250.0,8517091.0,6143287.0,10669451.0,4532130.0,1937550.0,1740233.0
39,68066938.0,15396830.0,19879699.0,1835720.0,19358592.0,8486915.0,7419954.0,12376829.0,12189252.0,5923062.0,2311322.0,3635822.0
40,78172443.0,17801332.0,22719527.0,1882506.0,20546756.0,4698193.0,7534893.0,8426113.0,23971316.0,7974851.0,7922939.0,3359772.0
41,12856501.0,2585949.0,2860849.0,194494.0,3404879.0,302059.0,1501956.0,1249921.0,3947645.0,1762372.0,1041655.0,566514.0
42,72179126.0,14961522.0,19124590.0,1648194.0,18831277.0,3906937.0,6890085.0,8348011.0,19985500.0,8944769.0,5498477.0,2595034.0
43,71069084.0,15815050.0,20171932.0,1792089.0,21716716.0,3623256.0,6835421.0,8126430.0,29883301.0,7657061.0,8679792.0,3089380.0
44,54640093.0,14919783.0,17045480.0,1487817.0,15818464.0,7218949.0,5507941.0,9905238.0,16365941.0,7014687.0,3670407.0,2270186.0
45,34112379.0,9022197.0,10325171.0,1095296.0,10933898.0,2270551.0,3408859.0,4401980.0,8223530.0,4673927.0,1904924.0,1604850.0
46,51485154.0,13763679.0,15749057.0,1216899.0,15542087.0,4207078.0,4804832.0,6969125.0,14423967.0,6815051.0,7215901.0,1941605.0
47,48721790.0,13384829.0,15390058.0,1005105.0,14947658.0,4003813.0,4613160.0,7938056.0,10828822.0,5546282.0,3293288.0,2188222.0
